_id,_rev,Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row,topic,payload,qos,retain
000ac62b7850525df9febd4a67ae314a,1-c19351c0288031296c0b33128e226753,2019-9-18,Barra Funda,-23.5542,-46.6707,147704,46,25,14,17,17,32,1,29,REABASTECER,5658.0,,,,
000ac62b7850525df9febd4a67b19b5b,1-6df96e73c368da5dadde600911d8c216,2018-4-4,Sé,-23.55,-46.6333,192038,29,39,36,9,27,25,25,10,NORMAL,3694.0,,,,
000ac62b7850525df9febd4a67b29c90,1-7b0011f5904dd2e63fcf53b0d26df949,2019-6-5,Tatuapé,-23.5402,-46.5765,69726,67,6,65,28,41,34,18,22,REABASTECER,6275.0,,,,
000ac62b7850525df9febd4a67b2b624,1-a981284ff722ce0d41f110a0e413cb88,2019-11-20,Barra Funda,-23.5542,-46.6707,150072,24,55,30,43,25,16,13,38,NORMAL,5720.0,,,,
000ac62b7850525df9febd4a67b43cbf,1-ea7497b6f3a0ee57cd6fa954ea4c42a5,2019-12-14,Barra Funda,-23.5542,-46.6707,147552,32,40,44,26,7,31,10,9,NORMAL,5744.0,,,,
000ac62b7850525df9febd4a67b8f5f4,1-ef6ce76df0f86d1b525ec464a99a7d0e,2018-2-28,Tatuapé,-23.5402,-46.5765,69766,24,47,52,21,23,36,23,31,NORMAL,5818.0,,,,
000ac62b7850525df9febd4a67b9b0f8,1-ef26db5d25492a3a208a2ac6870ecafb,2018-3-6,Tatuapé,-23.5402,-46.5765,69703,36,58,55,36,3,13,36,38,REABASTECER,5826.0,,,,
000ac62b7850525df9febd4a67bb87b9,1-f266386142842cad40db4526fa85569d,2019-10-23,Tatuapé,-23.5402,-46.5765,69349,49,6,40,5,34,18,36,39,NORMAL,6413.0,,,,
000ac62b7850525df9febd4a67bc0944,1-e62947f983e5f37aa9ca53c5c2a1399a,2019-10-30,Tatuapé,-23.5402,-46.5765,70179,67,28,65,20,14,39,8,16,NORMAL,6420.0,,,,
000ac62b7850525df9febd4a67c46d9d,1-b4fcd0a83fc1fbff12c2b29fc49f62b3,2018-8-3,Tatuapé,-23.5402,-46.5765,67489,3,57,65,38,27,4,43,43,REABASTECER,5973.0,,,,
000ac62b7850525df9febd4a67c839fe,1-2b2fb66e92ff679c330f8d5ec9ed8716,2018-9-22,Tatuapé,-23.5402,-46.5765,68860,49,28,58,14,43,9,37,15,NORMAL,6022.0,,,,
000ac62b7850525df9febd4a67c8a455,1-6b9d06db02d50e3128fb1afec4e32919,2018-4-19,República,-23.5436,-46.6434,109008,86,39,55,15,35,8,2,5,REABASTECER,6589.0,,,,
000ac62b7850525df9febd4a67ce5844,1-71bd8c44b6349ddb8c20de31bb7df50d,2019-5-3,Sé,-23.55,-46.6333,194686,34,45,39,6,37,11,17,21,REABASTECER,4083.0,,,,
000ac62b7850525df9febd4a67cf756c,1-f59e2ddfb6733986ee04f60ecb94e01b,2018-12-25,Tatuapé,-23.5402,-46.5765,70523,19,4,40,21,8,26,9,18,REABASTECER,6115.0,,,,
000ac62b7850525df9febd4a67e49726,1-29bf7435933a9d1d3e9772b4a1bdc515,2018-3-18,Brás,-23.5451,-46.6162,71940,86,16,58,12,40,14,34,23,NORMAL,4398.0,,,,
000ac62b7850525df9febd4a67e5be7b,1-b39205210658cd2703dac0e2f446fa9f,2019-11-21,Tatuapé,-23.5402,-46.5765,68061,32,21,46,40,23,25,6,12,REABASTECER,6441.0,,,,
000ac62b7850525df9febd4a67e75ffe,1-497463d046b6a8c01fcc2abca60768e8,2018-4-25,Brás,-23.5451,-46.6162,73326,73,52,57,19,17,27,3,5,NORMAL,4435.0,,,,
000ac62b7850525df9febd4a67e9b5bd,1-3e8171a7662ac21ba73730452c527d44,2018-1-15,República,-23.5436,-46.6434,108537,50,41,36,43,31,43,31,33,NORMAL,6495.0,,,,
000ac62b7850525df9febd4a67f485e8,1-92bb3345ee0e474d1f233e67921aa09e,2018-5-27,República,-23.5436,-46.6434,110156,42,12,55,7,16,34,38,12,NORMAL,6627.0,,,,
000ac62b7850525df9febd4a67fd84a1,1-b9f79fe32166cbd87cd6a00c1a56372e,2018-9-12,República,-23.5436,-46.6434,110820,34,42,56,16,28,40,7,7,NORMAL,6732.0,,,,
001e999ea79df30784ef654256048201,1-3ee2ebadd09f90656fe04e77489def88,2018-7-11,Luz,-23.5365,-46.6332,127609,16,35,44,10,39,34,26,1,NORMAL,10991.0,,,,
001e999ea79df30784ef654256049775,1-ddceafff6cd9d59d0df468edb364796d,2018-7-12,Luz,-23.5365,-46.6332,126987,6,33,40,10,36,29,23,43,REABASTECER,10992.0,,,,
001e999ea79df30784ef6542560b4b79,1-b5a1460bf1ef91215631dff67e1f920b,2018-10-6,Luz,-23.5365,-46.6332,124356,29,19,65,20,43,11,37,28,NORMAL,11076.0,,,,
001e999ea79df30784ef6542560e0498,1-3746205bbb559928d9f81b3c2c5992a6,2018-1-15,Sé,-23.55,-46.6333,191579,34,59,32,37,35,43,35,34,NORMAL,3615.0,,,,
001e999ea79df30784ef65425610f10d,1-713aa762e6582fe3ba2498efc3fd9401,2019-1-6,Luz,-23.5365,-46.6332,125452,86,62,25,29,28,14,20,36,NORMAL,11166.0,,,,
001e999ea79df30784ef6542561173f0,1-8a8e32f04eb5a02a10f0a857413e6a80,2019-1-14,Luz,-23.5365,-46.6332,126711,17,23,40,4,43,34,31,43,REABASTECER,11174.0,,,,
001e999ea79df30784ef65425615195e,1-63c513ba692f238fb3fc265d17f19367,2018-4-25,Sé,-23.55,-46.6333,195177,15,50,3,32,32,41,23,16,REABASTECER,3715.0,,,,
001e999ea79df30784ef6542561c6aee,1-d7ebdeb2abaf5b9cd45aa4c69d31700a,2019-6-17,Luz,-23.5365,-46.6332,127530,9,12,61,26,5,17,33,22,NORMAL,11327.0,,,,
001e999ea79df30784ef6542561d11c0,1-5cb372374f636a9109f359e6f62c54be,2018-8-14,Sé,-23.55,-46.6333,194377,86,59,19,40,29,39,43,14,NORMAL,3824.0,,,,
001e999ea79df30784ef65425620f33e,1-268b645989f36e417126fb0bfc0909f3,2019-8-18,Luz,-23.5365,-46.6332,124791,26,57,38,9,17,33,33,20,NORMAL,11388.0,,,,
001e999ea79df30784ef654256212095,1-1a8bf5babfc8f91432185e7ba02e08bc,2019-8-20,Luz,-23.5365,-46.6332,125371,6,46,23,43,10,27,28,13,NORMAL,11390.0,,,,
001e999ea79df30784ef6542562b392c,1-1d6969fa61423cfbb87dab6c2b86bef9,2019-4-24,Luz,-23.5365,-46.6332,126770,86,49,14,22,3,20,28,32,REABASTECER,11274.0,,,,
001e999ea79df30784ef654256300ae0,1-0290857287291c39e87daa2e81c30617,2019-6-27,Luz,-23.5365,-46.6332,123938,86,18,60,43,10,21,35,19,NORMAL,11337.0,,,,
001e999ea79df30784ef65425634ee8f,1-abbe630ff39a1d9b008e3d413d30a645,2019-9-5,Luz,-23.5365,-46.6332,125772,40,41,37,34,29,25,20,33,NORMAL,11405.0,,,,
001e999ea79df30784ef65425635b595,1-f4cdbf793d02808e58ecec9aba39a868,2018-6-15,Ana Rosa,-23.5813,-46.6383,64766,34,24,57,13,35,43,19,38,NORMAL,11685.0,,,,
001e999ea79df30784ef6542563a6003,1-f3df17235eafdec882f8e98946a1e2ff,2018-8-25,Ana Rosa,-23.5813,-46.6383,64062,54,1,47,8,18,18,35,19,REABASTECER,11755.0,,,,
001e999ea79df30784ef6542563af024,1-6f00b510336c76bce6a2c2da8a89c080,2019-10-23,Sé,-23.55,-46.6333,192762,68,36,65,40,36,21,6,9,NORMAL,4253.0,,,,
001e999ea79df30784ef6542563f8e51,1-a73837b23185973f41f9af0ee4abb3c1,2019-12-20,Sé,-23.55,-46.6333,192317,59,57,15,43,29,7,21,39,NORMAL,4310.0,,,,
001e999ea79df30784ef6542564085f3,1-378cd7da9eec32475185d20464c54142,2018-11-18,Ana Rosa,-23.5813,-46.6383,66079,66,51,33,36,4,19,20,32,REABASTECER,11838.0,,,,
001e999ea79df30784ef6542564577ac,1-166643075d236aa9a021f346cfac9e8e,2018-4-21,Ana Rosa,-23.5813,-46.6383,65064,50,28,41,19,37,33,29,37,NORMAL,11631.0,,,,
001e999ea79df30784ef65425649b96b,1-85c21c5267b3e1088d008d800c25aa63,2018-6-20,Ana Rosa,-23.5813,-46.6383,64149,77,65,26,5,11,26,43,20,NORMAL,11690.0,,,,
001e999ea79df30784ef6542565274a6,1-12610e0067a03b531bacd08387203721,2018-10-14,Ana Rosa,-23.5813,-46.6383,64686,37,46,5,41,23,6,18,29,REABASTECER,11804.0,,,,
001e999ea79df30784ef654256556e6b,1-1d4524d03ccf3d9eb4db90550be6b68b,2018-10-14,Brás,-23.5451,-46.6162,71644,61,15,4,21,35,30,12,20,REABASTECER,4604.0,,,,
001e999ea79df30784ef654256580f5b,1-2595f2a487436cdbd9b8a81691cf6bb5,2019-10-18,Ana Rosa,-23.5813,-46.6383,64278,86,63,21,33,17,26,6,1,REABASTECER,12168.0,,,,
001e999ea79df30784ef6542565cf6c3,1-f0a7c4bdf91b144d3ed067151262fc12,2019-3-12,Ana Rosa,-23.5813,-46.6383,64459,78,38,60,43,6,14,8,12,REABASTECER,11952.0,,,,
001e999ea79df30784ef65425665c024,1-27cf62d91bcd2b63d7480c8d058dac73,2018-5-7,São Joaquim,-23.5618,-46.6389,35332,73,61,53,19,20,12,16,23,NORMAL,12367.0,,,,
001e999ea79df30784ef654256687676,1-7dd47fa9e2932337aa3d785d790bdaf4,2018-6-18,São Joaquim,-23.5618,-46.6389,34111,86,55,40,7,18,14,31,8,NORMAL,12408.0,,,,
001e999ea79df30784ef65425668e3af,1-340a2757003c342e9c2bf9c87f682b8e,2018-6-24,São Joaquim,-23.5618,-46.6389,36328,30,10,65,40,38,30,10,28,NORMAL,12414.0,,,,
001e999ea79df30784ef6542566a997f,1-492fa26df8f721daf0ea861f5d7281de,2019-10-10,Ana Rosa,-23.5813,-46.6383,63871,68,40,8,15,41,41,35,41,REABASTECER,12160.0,,,,
001e999ea79df30784ef6542566e11ec,1-bc061bafbd19fe450d5a09544d821251,2018-9-3,São Joaquim,-23.5618,-46.6389,33642,38,43,51,32,29,12,3,43,NORMAL,12483.0,,,,
001e999ea79df30784ef654256768809,1-e71c3bc356e6a401f011237820251f4e,2018-3-2,São Joaquim,-23.5618,-46.6389,33012,15,10,19,42,13,14,8,25,NORMAL,12302.0,,,,
001e999ea79df30784ef6542568b57e7,1-2237117133127f5f62544e779bd47f49,2019-10-23,São Joaquim,-23.5618,-46.6389,33076,74,15,38,18,12,18,2,8,REABASTECER,12893.0,,,,
001e999ea79df30784ef6542568f48a7,1-8e823b92c01ecab7eb9a523a0c38553b,2019-2-25,São Joaquim,-23.5618,-46.6389,33154,41,21,57,30,38,33,3,20,NORMAL,12655.0,,,,
001e999ea79df30784ef654256943e55,1-e583e3dda7de19bcb693f4e5d1f63cc3,2018-2-30,São Judas,-23.6255,-46.6411,14066,22,60,5,9,17,36,7,39,REABASTECER,13020.0,,,,
001e999ea79df30784ef65425695a738,1-26356f576c62b769c5683c294a65becc,2019-4-8,Barra Funda,-23.5542,-46.6707,150164,17,17,65,16,31,43,34,35,NORMAL,5498.0,,,,
001e999ea79df30784ef654256a97895,1-e70926fa63256ba52bf0cdbc2e18b2dd,2018-11-24,São Judas,-23.6255,-46.6411,14775,67,65,8,13,37,39,43,2,NORMAL,13284.0,,,,
001e999ea79df30784ef654256ab555f,1-5b23cc1247e26335d70799d8c45c980e,2018-1-2,Tatuapé,-23.5402,-46.5765,67799,75,59,61,40,37,37,38,40,NORMAL,5762.0,,,,
001e999ea79df30784ef654256b35c08,1-92f4eb2a9fa3671941f783858fd709b9,2018-4-18,Tatuapé,-23.5402,-46.5765,68595,63,43,31,14,39,32,22,33,NORMAL,5868.0,,,,
001e999ea79df30784ef654256b4711d,1-22d29b3eb9f0df477d62a6b538d3dc5f,2018-6-13,São Judas,-23.6255,-46.6411,13957,86,65,7,8,37,28,25,11,REABASTECER,13123.0,,,,
001e999ea79df30784ef654256b55249,1-21785821068e3385748acfeee886a85e,2019-4-24,São Judas,-23.6255,-46.6411,16849,13,57,13,19,21,32,17,9,NORMAL,13434.0,,,,
001e999ea79df30784ef654256b90482,1-4c2808f8857b44bc4dca278214a18fce,2018-8-13,São Judas,-23.6255,-46.6411,13625,86,24,46,35,12,20,13,30,NORMAL,13183.0,,,,
001e999ea79df30784ef654256bae724,1-b9612801f9cf856a9f46bd38b17c0691,2018-9-13,São Judas,-23.6255,-46.6411,13592,57,46,34,34,30,37,19,33,NORMAL,13213.0,,,,
001e999ea79df30784ef654256c17397,1-43b271233e7f73a682cf2d1a25a22d67,2018-12-12,São Judas,-23.6255,-46.6411,13838,66,7,13,32,13,38,7,13,REABASTECER,13302.0,,,,
001e999ea79df30784ef654256c5c23d,1-e274a5c9d9a178bee20e2d3cb7969451,2018-12-23,Tatuapé,-23.5402,-46.5765,69820,37,16,57,27,17,28,16,22,NORMAL,6113.0,,,,
001e999ea79df30784ef654256c600fd,1-0f455aafa6bce1c088480153f597f574,2019-12-5,São Judas,-23.6255,-46.6411,15017,70,32,30,36,12,41,4,43,REABASTECER,13655.0,,,,
001e999ea79df30784ef654256c95a4f,1-5d47150e9c4d28ff77ea1d3f8d039f5a,2019-3-21,São Judas,-23.6255,-46.6411,16344,62,48,56,37,36,33,26,11,NORMAL,13401.0,,,,
001e999ea79df30784ef654256ca4c5e,1-43524740ef4b089eb1e98344ef9de162,2018-1-19,Vila Mariana,-23.5895,-46.6346,21501,86,21,65,38,18,32,18,6,REABASTECER,13699.0,,,,
001e999ea79df30784ef654256cfa8ac,1-ce888f8ee43499727fff87d8d7503543,2018-4-12,Vila Mariana,-23.5895,-46.6346,21735,65,26,19,43,38,16,8,22,NORMAL,13782.0,,,,
001e999ea79df30784ef654256d7286f,1-6ad78c145a1d6412d593c9556c8b3114,2018-8-4,Vila Mariana,-23.5895,-46.6346,23516,37,62,42,15,16,34,23,29,NORMAL,13894.0,,,,
001e999ea79df30784ef654256d766a7,1-6ac53c58f76ba8037e3dba317d364ea0,2019-8-13,Tatuapé,-23.5402,-46.5765,67069,8,5,43,26,25,38,22,12,NORMAL,6343.0,,,,
001e999ea79df30784ef654256d7b04d,1-f1fdcc9321d7c1a600dd7a5b84ae4d9b,2019-8-15,Tatuapé,-23.5402,-46.5765,69506,77,60,27,16,19,30,13,2,REABASTECER,6345.0,,,,
001e999ea79df30784ef654256dec7fa,1-63b23eec43d462dfb4251e356a9aa78f,2019-11-23,Tatuapé,-23.5402,-46.5765,68018,14,6,31,34,14,22,40,5,REABASTECER,6443.0,,,,
001e999ea79df30784ef654256e05da2,1-6a50688e254fa4d4a5346a870a4c26d5,2018-12-15,Vila Mariana,-23.5895,-46.6346,23480,28,54,65,43,10,30,9,33,NORMAL,14025.0,,,,
001e999ea79df30784ef654256e62224,1-12e7e650a30c5e61a46ab371a1337f36,2018-5-11,Vila Mariana,-23.5895,-46.6346,22161,45,47,10,30,18,18,19,30,NORMAL,13811.0,,,,
001e999ea79df30784ef654256edfdd3,1-88bf7a55c69c8466be75b82edec7ee67,2019-6-25,Vila Mariana,-23.5895,-46.6346,23496,86,7,50,24,21,41,16,25,NORMAL,14215.0,,,,
001e999ea79df30784ef654256f076ca,1-b88609a1e72e3bb8998069d095eee8ab,2019-7-30,Vila Mariana,-23.5895,-46.6346,24568,16,40,65,26,14,3,18,15,NORMAL,14250.0,,,,
001e999ea79df30784ef654256f2535c,1-1b4446f86426c534e2cda873717c6154,2019-8-29,Vila Mariana,-23.5895,-46.6346,21603,73,65,6,22,30,39,21,33,NORMAL,14279.0,,,,
001e999ea79df30784ef654256f4d784,1-3bd01085b92bfd4410a90d782f2ece95,2018-12-5,Vila Mariana,-23.5895,-46.6346,24717,38,55,65,20,9,18,4,30,NORMAL,14015.0,,,,
001e999ea79df30784ef654256f50a1f,1-da23c2fee228e8dfeb35887054c481c9,2018-12-8,Vila Mariana,-23.5895,-46.6346,22107,6,32,42,15,40,13,35,20,REABASTECER,14018.0,,,,
001e999ea79df30784ef654256f7c334,1-5fcb0f8316c318593417cd894efaa8cd,2019-11-13,Vila Mariana,-23.5895,-46.6346,23438,17,23,37,13,5,43,6,43,NORMAL,14353.0,,,,
001e999ea79df30784ef654256fefa1a,1-945e142703643ac9e525f04281aeb497,2019-4-29,Vila Mariana,-23.5895,-46.6346,24885,21,43,56,27,33,23,29,20,NORMAL,14159.0,,,,
00249577572bd0f86f2a6e32e710bf5e,1-bb3538db94a8dc6b8458207da11a7536,2018-11-6,Luz,-23.5365,-46.6332,124781,86,44,65,9,6,36,41,37,REABASTECER,11106.0,,,,
00249577572bd0f86f2a6e32e71341a1,1-a6096ba6620a898b781f5aebee34f8f3,2019-10-14,Consolação,-23.5581,-46.6606,112391,9,49,65,21,37,37,21,16,REABASTECER,2804.0,,,,
00249577572bd0f86f2a6e32e713e81f,1-4bb886cd0588b54c302d969e515fb8ef,2019-10-27,Consolação,-23.5581,-46.6606,113719,37,23,50,17,34,34,8,43,NORMAL,2817.0,,,,
00249577572bd0f86f2a6e32e71c8a58,1-56adb3d2934484f399b56248864eb70f,2019-4-8,Luz,-23.5365,-46.6332,126858,77,22,53,27,14,26,15,3,NORMAL,11258.0,,,,
00249577572bd0f86f2a6e32e72117d3,1-c98365987435adbe26d180c43f37a7e7,2019-6-10,Luz,-23.5365,-46.6332,126986,76,54,43,9,38,43,23,6,NORMAL,11320.0,,,,
00249577572bd0f86f2a6e32e723ff91,1-61ca6b9a9b7e2724eaceebf01d2766e7,2018-9-5,Consolação,-23.5581,-46.6606,112742,11,42,65,16,29,36,6,33,NORMAL,2405.0,,,,
00249577572bd0f86f2a6e32e72b82f4,1-72d0e16ad1a03ccadef280346378780b,2018-12-19,Consolação,-23.5581,-46.6606,113930,29,30,21,28,38,12,15,21,NORMAL,2509.0,,,,
00249577572bd0f86f2a6e32e730e924,1-a31c97ee53930de584ab38ea1770e79c,2018-12-1,Tamanduateí,-23.5929,-46.5897,50844,76,46,53,43,23,7,32,30,NORMAL,3211.0,,,,
00249577572bd0f86f2a6e32e732d228,1-733d555754a343ba9b1a405d0ba93e6b,2019-4-5,Consolação,-23.5581,-46.6606,112714,58,7,18,42,14,7,5,16,NORMAL,2615.0,,,,
00249577572bd0f86f2a6e32e73404c9,1-c1ed6843c6cbcaf1414cfc25376a057c,2019-1-14,Tamanduateí,-23.5929,-46.5897,50238,86,25,51,29,31,17,28,37,NORMAL,3254.0,,,,
00249577572bd0f86f2a6e32e7342f65,1-382950bd72109787b13b2df4022f744a,2018-3-2,Ana Rosa,-23.5813,-46.6383,64708,24,63,37,31,43,37,5,24,REABASTECER,11582.0,,,,
00249577572bd0f86f2a6e32e738c8ee,1-2ba0e61d5dad0dde04aefb2de09c312d,2019-6-24,Consolação,-23.5581,-46.6606,111672,43,48,36,22,30,7,16,5,NORMAL,2694.0,,,,
00249577572bd0f86f2a6e32e73c5d75,1-3351799788344d9178b996e243e27b49,2018-6-19,Ana Rosa,-23.5813,-46.6383,66557,86,8,33,7,17,31,2,24,REABASTECER,11689.0,,,,
00249577572bd0f86f2a6e32e73f182a,1-ef582d703f24b52ee88b00e0c04be060,2018-7-30,Ana Rosa,-23.5813,-46.6383,65182,32,30,65,35,27,36,12,32,NORMAL,11730.0,,,,
00249577572bd0f86f2a6e32e73f354f,1-aafd4ae5a9955f0ecc8da174fd546735,2018-8-1,Ana Rosa,-23.5813,-46.6383,65886,23,21,60,32,23,35,6,26,NORMAL,11731.0,,,,
00249577572bd0f86f2a6e32e746d543,1-5e0e145bdcc8ab71ab372cafd6616761,2018-11-6,Ana Rosa,-23.5813,-46.6383,64974,86,52,49,22,10,12,21,36,NORMAL,11826.0,,,,
00249577572bd0f86f2a6e32e748cde3,1-237d557721fbe03e3b6ef80426dbe26d,2019-10-30,Tamanduateí,-23.5929,-46.5897,51329,29,41,6,6,36,43,18,6,NORMAL,3540.0,,,,
00249577572bd0f86f2a6e32e753152c,1-a272032b5b7560d745deeac9f321d6d9,2018-6-30,Tamanduateí,-23.5929,-46.5897,49600,27,9,25,39,10,17,22,10,NORMAL,3060.0,,,,
00249577572bd0f86f2a6e32e7554f41,1-35701f8c90fe33123bca8dd3acac6ba0,2018-7-26,Tamanduateí,-23.5929,-46.5897,51636,8,41,35,43,24,12,27,34,NORMAL,3086.0,,,,
00249577572bd0f86f2a6e32e755be19,1-1b37dfdfa06ac99964e09cb14f33c6e2,2019-5-30,Ana Rosa,-23.5813,-46.6383,66095,20,36,27,22,2,33,29,22,REABASTECER,12030.0,,,,
00249577572bd0f86f2a6e32e75619f8,1-4cba8299f91b26cca38d88635a1349f5,2019-6-5,Ana Rosa,-23.5813,-46.6383,67362,62,17,56,8,27,13,9,10,NORMAL,12035.0,,,,
00249577572bd0f86f2a6e32e75eca3b,1-6e85024fcfb94d6daeff28dae1daddc3,2019-10-4,Ana Rosa,-23.5813,-46.6383,64918,46,7,61,29,24,25,13,19,NORMAL,12154.0,,,,
00249577572bd0f86f2a6e32e7630206,1-ccee4bec27ae322067dcb5ca0706a42f,2019-1-29,Tamanduateí,-23.5929,-46.5897,52948,25,50,17,33,13,10,11,14,NORMAL,3269.0,,,,
00249577572bd0f86f2a6e32e7642210,1-63bbd1de5879a3a7294ed172a7f34e49,2018-11-14,Sé,-23.55,-46.6333,192183,66,14,31,11,29,22,40,27,NORMAL,3914.0,,,,
00249577572bd0f86f2a6e32e76bffb9,1-678959dd1b5359f0a13d100ed740b3bf,2019-5-24,Tamanduateí,-23.5929,-46.5897,52902,86,45,7,35,20,33,24,34,NORMAL,3384.0,,,,
